trial,alpha_0,alpha_0.09,alpha_0.18,alpha_0.27,alpha_0.36,alpha_0.45,alpha_0.54,alpha_0.63,alpha_0.72,alpha_0.81,alpha_0.9,alpha_0.99
1,0.692223956621755,0.686965987512323,0.685610417351298,0.68070161025304,0.681831252053894,0.686678442326651,0.68766431153467,0.671623397962537,0.686719520210319,0.686555208675649,0.671931482090043,0.686719520210319
2,0.722635281565699,0.722601940452772,0.724502383889574,0.730237055312906,0.722268529323509,0.72316873937252,0.723368786050078,0.723068716033741,0.72920348081219,0.723135398259594,0.72280198713033,0.72280198713033
3,0.711596687702915,0.7138219093131,0.707583992996024,0.7134571188852,0.714186699740999,0.710538795462007,0.712143873344763,0.71378543027031,0.708240615766242,0.714150220698209,0.712691058986612,0.707547513953234
4,0.663804719079999,0.660154169147369,0.718421959702942,0.718891987591264,0.696596998088553,0.663507034750729,0.715633127565569,0.70092125466111,0.701485288127096,0.716949205652869,0.718359289317833,0.718484630088052
5,0.678323484775098,0.683909716167781,0.686008589234396,0.685879427814912,0.68308631211857,0.686073169944138,0.685782556750299,0.685136749652879,0.682957150699086,0.686040879589267,0.684458652200588,0.686105460299009
6,0.721985129863635,0.723052045477278,0.6923948921415,0.713149734938152,0.712816323808889,0.714316673890575,0.712816323808889,0.709915646984296,0.709915646984296,0.709915646984296,0.714049944987164,0.709915646984296
7,0.690542630446477,0.690055137170522,0.6988804464766,0.695383942980097,0.698678725121033,0.695047740720818,0.696157208176439,0.695417563206025,0.693433969876278,0.700729558902636,0.693871032813341,0.698611484669177
8,0.673948141690077,0.67824275888792,0.687768413574865,0.688059026768704,0.688059026768704,0.688059026768704,0.679502082727889,0.688059026768704,0.671332622945526,0.68631534760567,0.669653524492234,0.681213471536052
9,0.679195324356615,0.678517226904324,0.678097452291001,0.678743259388421,0.678194323355614,0.680067163938132,0.681165036003746,0.681165036003746,0.680486938551455,0.681649391326811,0.681100455294004,0.681552520262198
10,0.699570105820106,0.69239417989418,0.696031746031746,0.694179894179894,0.695337301587302,0.695436507936508,0.695436507936508,0.693353174603175,0.695337301587302,0.7,0.695337301587302,0.695304232804233
11,0.679827335987794,0.675213039109887,0.675213039109887,0.67621776504298,0.67967848770141,0.677855096193205,0.673724556246046,0.674319949391583,0.673445465709076,0.678283035016559,0.677706247906821,0.678376065195549
12,0.666395469929706,0.665012366571205,0.668868784170789,0.664491668836241,0.67703722988805,0.674986982556626,0.674205935954179,0.668396901848477,0.669112861234054,0.663612991408487,0.671813980734184,0.668624707107524
13,0.664705469106748,0.673522076644771,0.679844743405107,0.660964557940216,0.679177350802627,0.628350135234817,0.672538550704275,0.672327795145597,0.659770276441041,0.679914995258,0.683251958270399,0.683357336049738
14,0.677122175915771,0.671889198759126,0.670228433553724,0.670917807789929,0.670823802212265,0.670604455864381,0.670823802212265,0.670823802212265,0.670604455864381,0.670823802212265,0.669915081628177,0.682464826246357
15,0.643194755908228,0.625340693462136,0.650474383301708,0.64819734345351,0.649266862170088,0.652095911678454,0.652302915301018,0.649542867000172,0.65061238571675,0.638571675004313,0.63051578402622,0.629791271347249
16,0.675363645610823,0.67946631404062,0.668938392160852,0.680415691859085,0.679974909300512,0.680483504560404,0.670226833485912,0.679330688637982,0.67882209337809,0.670023395381955,0.670701522395145,0.683433357067779
17,0.627428389109473,0.64533111174135,0.653023964832672,0.651003261486103,0.655186471922859,0.648096284741917,0.651322319909246,0.646500992626205,0.65256310266591,0.65256310266591,0.637319200226886,0.652988513896767
18,0.599970938680616,0.606073815751235,0.603716619845652,0.600778197552391,0.604136394458975,0.603619748781039,0.603426006651813,0.601327133585198,0.60042300364881,0.600681326487778,0.601036520391359,0.602231263521586
19,0.716945619711299,0.709852538576406,0.709074788451966,0.718190019910403,0.706990418118467,0.707363738178198,0.707363738178198,0.713554629168741,0.719061100049776,0.712963539074166,0.706834868093579,0.706648208063713
20,0.721649668992664,0.721256038647343,0.726230094829129,0.721470746108427,0.726552156020755,0.710645911612095,0.721524422973698,0.717015566290929,0.718321703345858,0.717355519770979,0.718321703345858,0.723081052066559
21,0.688959921317925,0.685658084231972,0.685359513857178,0.681987424918332,0.683603217534863,0.685535143489409,0.6884857213109,0.687396817591064,0.68486775088693,0.6884857213109,0.688626225016685,0.688977484281148
22,0.649255952380952,0.64849537037037,0.648263888888889,0.647007275132275,0.648892195767196,0.647668650793651,0.642046957671958,0.649785052910053,0.649785052910053,0.649950396825397,0.645089285714286,0.64796626984127
23,0.709426184656915,0.709645058913654,0.708623645715536,0.709754496042024,0.705705322292343,0.708112939116478,0.709353226571335,0.706763214533251,0.708842519972276,0.705705322292343,0.707967022945318,0.705668843249553
24,0.664412238325282,0.670352478081947,0.659044551798175,0.659044551798175,0.659760243335123,0.659008767221328,0.659151905528717,0.659044551798175,0.659151905528717,0.659044551798175,0.658829844337091,0.659080336375022
25,0.669552846956338,0.670430995117496,0.679985247110893,0.680020373037339,0.671098387719976,0.671274017352208,0.67106326179353,0.670606624749728,0.670747128455513,0.671519898837332,0.671309143278654,0.671309143278654
26,0.657651072124756,0.662106655527708,0.663290169869117,0.673524087997772,0.665866054023949,0.671748816485659,0.666074909495962,0.660470620996937,0.666040100250627,0.666318574213311,0.67495126705653,0.666423001949318
27,0.64134288145207,0.6404388825865,0.638134571752694,0.639393079977311,0.639463981849121,0.639783040272263,0.636929239931934,0.687180941576858,0.690087918321044,0.62891732841747,0.6935266591038,0.692285876347136
28,0.678304868208714,0.688996100053792,0.6988804464766,0.694879639591178,0.702578671328671,0.692391742872512,0.699603281334051,0.689954276492738,0.697485207100592,0.698947686928456,0.698863636363636,0.69654384077461
29,0.689334495786109,0.68646065420259,0.687687687687688,0.698327359617682,0.696260776905938,0.697132616487455,0.695776421582873,0.692143756659886,0.696034744421841,0.696938874358229,0.697552391100778,0.696922729180794
30,0.686865956431865,0.68568929877564,0.686706948640483,0.686229925266338,0.685752901892193,0.685752901892193,0.68498966449356,0.673000477023374,0.685085069168389,0.691890602639529,0.688710446811894,0.685180473843218
31,0.665530303030303,0.669665404040404,0.670233585858586,0.668718434343434,0.660606060606061,0.66947601010101,0.659232954545454,0.669381313131313,0.670138888888889,0.660969065656566,0.669349747474748,0.670044191919192
32,0.676725112208983,0.676531370079757,0.673948141690077,0.667425490006135,0.674497077722884,0.667845264619458,0.668571797604056,0.6743679163034,0.674561658432626,0.66611773063386,0.665633375310795,0.665536504246182
33,0.674289021164021,0.677695105820106,0.676289682539682,0.676653439153439,0.676058201058201,0.674206349206349,0.675231481481481,0.673511904761905,0.674636243386243,0.673048941798942,0.67364417989418,0.675033068783069
34,0.682375924311408,0.67921146953405,0.676757402563854,0.677241757886919,0.676854273628467,0.680729116212987,0.6808259872776,0.675691820853111,0.680664535503245,0.680890567987342,0.675853272627466,0.680567664438632
35,0.680546654703922,0.662218021020251,0.659830812612151,0.654207254550115,0.655809407844143,0.682677518584978,0.65920597282748,0.654207254550115,0.717364137400667,0.683510638297872,0.654207254550115,0.660087157139195
36,0.714983216356424,0.723425897670634,0.726613094632625,0.726714813684603,0.719933543552707,0.730715763062422,0.716424236259451,0.735513511680738,0.728817007425491,0.72820669311362,0.719611433221442,0.740073915844438
37,0.623809039433086,0.647340046790764,0.649001457973078,0.640999559217441,0.640355338554911,0.64042315125623,0.640151900450954,0.640050181398976,0.641575967178653,0.648357237310548,0.640151900450954,0.639745024243041
38,0.671585944919278,0.668509021842355,0.684178537511871,0.6929534662868,0.722070275403609,0.661462488129155,0.70377967711301,0.706134852801519,0.687312440645774,0.685622032288699,0.714586894586895,0.653162393162393
39,0.675755949185901,0.678153515834675,0.670996600465199,0.671783861155842,0.674718196457327,0.671103954195742,0.671103954195742,0.674575058149937,0.671032385042047,0.672857398461263,0.671712292002147,0.671926999463231
40,0.637937056152742,0.637898249835073,0.639683340447825,0.64294307113198,0.642826652178975,0.647561022934534,0.644572936474058,0.649656564088634,0.649307307229617,0.648337149287904,0.648531180876247,0.657650665528348
41,0.696922348484848,0.691650883838384,0.690924873737374,0.689851641414141,0.694176136363636,0.69240845959596,0.689851641414141,0.693923611111111,0.689883207070707,0.694286616161616,0.689977904040404,0.693181818181818
42,0.6825810292859,0.692218955829271,0.688274476240092,0.688423324526476,0.681166970565251,0.683288058646225,0.683064786216649,0.688051203810516,0.682990362073457,0.684404420794106,0.694526104268225,0.686190600230715
43,0.689687588130229,0.679722996897816,0.682825180960737,0.681979130761759,0.685049979632125,0.682950521730956,0.685206655594899,0.677701876978034,0.685488672327891,0.683921912700154,0.683608560774606,0.683483220004387
44,0.686995265942634,0.6786410470621,0.683201058201058,0.684767474241158,0.687134502923977,0.679963798384851,0.678397382344751,0.685602896129212,0.678432191590086,0.687064884433305,0.685289612921192,0.686299081035923
45,0.649993038150933,0.653125870231133,0.654135338345865,0.653125870231133,0.653787245892509,0.653822055137845,0.654100529100529,0.654239766081871,0.653822055137845,0.654204956836536,0.65385686438318,0.653961292119187
46,0.665879405976024,0.71944891751655,0.687475398103417,0.71959205582394,0.720236178207193,0.716675612810878,0.719162640901771,0.718482733941671,0.718464841653247,0.708105206655931,0.707353730542136,0.712864555376633
47,0.716569767441861,0.711508207934337,0.711508207934337,0.714141586867305,0.700478796169631,0.712260601915185,0.712226402188783,0.711012311901505,0.714346785225718,0.711337209302326,0.712363201094391,0.711337209302326
48,0.709916907514451,0.711289739884393,0.712734826589595,0.712734826589595,0.713421242774566,0.712373554913295,0.711578757225434,0.713710260115607,0.717106213872832,0.712626445086705,0.71558887283237,0.710350433526012
49,0.694807659134035,0.695980679661894,0.692979127134725,0.690753838192168,0.701259272037261,0.69266862170088,0.693375884077971,0.694893910643436,0.689356563739865,0.691047093324133,0.68659651543902,0.691116094531654
50,0.675687708697726,0.677627603752584,0.679949117506758,0.681348386070918,0.678899666083638,0.67905867387502,0.67765940531086,0.678295436476387,0.676991572587057,0.679281284782954,0.673286691047861,0.674320241691843
